"Sample_Name","Original_Cq","Threshold_Used","Column_Matched","Log10_copies_original","Copies_per_mL_original","Log10_copies_corrected","Copies_per_mL_corrected","Fold_difference","Log2_fold_difference"
"KS8-od-1-1",16.5034631593613,179.042741187452,"KS8-od1-1",5.36727730789576,232957.827689703,4.87567821051337,75106.618705325,0.322404357261462,-1.63305685301582
"KS8-od-1-2",16.4282118088063,179.042741187457,"KS8-od1-2",5.38474953734139,242521.10443937,4.89202830555507,77988.093834724,0.321572400946331,-1.63678450281849
"KS8-od-1-3",16.1901841603334,179.042741187448,"KS8-od1-3",5.44001596987513,275432.998368829,4.9437453132417,87850.7175805543,0.318954947667217,-1.64857543693879
"KS8-od-2-1",16.0643331697866,179.042741187448,"KS8-od2-1",5.46923667311268,294602.666305552,4.97108934947966,93559.8139425785,0.317579657767053,-1.6548095897695
"KS8-od-2-2",16.1615264149624,179.042741187448,"KS8-od2-2",5.44666986643411,279685.445272067,4.94997187073257,89119.3213651515,0.318641255280409,-1.64999502659518
"KS8-od-2-3",16.2363736312716,179.04274118745,"KS8-od2-3",5.42929147086944,268714.728318202,4.93370958319572,85843.9283105865,0.319461195327311,-1.64628739598062
"EHC-od-1-1",17.2658645773448,179.042741187449,"EHC-od1-1",5.19025918919846,154974.123658158,4.71002888260077,51289.5492790332,0.330955569022398,-1.59529054750324
"EHC-od-1-2",17.3698104209356,179.042741187457,"EHC-od1-2",5.16612453093994,146596.813692199,4.68744424578876,48690.5012864421,0.332138878466178,-1.5901414877124
"EHC-od-1-3",17.0521604111717,179.042741187455,"EHC-od1-3",5.23987807573437,173731.302528938,4.75646105161789,57076.9886112082,0.328536008078917,-1.60587659395938
"EHC-od-2-1",15.0623792831884,179.042741187461,"EHC-od2-1",5.70187526459927,503356.017192702,5.18878698749481,154449.670987917,0.306839822536161,-1.70444236287068
"EHC-od-2-2",15.0726242889995,179.042741187445,"EHC-od2-2",5.69949652865788,500606.551134324,5.18656102321006,153660.068766831,0.306947778487223,-1.70393486641236
"EHC-od-2-3",7.1213792219611,179.042741187452,"EHC-od2-3",7.54565579576824,35128191.8337025,6.91415277521253,8206401.76659724,0.233612985417709,-2.09780762599025
"EHC-1-1",15.1564307335804,179.042741187459,"EHC-1-1",5.68003793531783,478671.902150889,5.1683521362745,147350.677246287,0.307832309739038,-1.69978343159691
"EHC-1-2",13.1072403422468,179.042741187448,"EHC-1-2",6.15582905974397,1431624.29461851,5.61358610762149,410758.072856404,0.286917506499748,-1.80129209691034
"EHC-1-3",13.5541242322744,179.042741187448,"EHC-1-3",6.05206935570506,1127377.48106711,5.51649025458146,328465.873559336,0.291353942291299,-1.77915526305702
"EHC-2-1",12.5290666849059,179.042741187452,"EHC-2-1",6.29007226901492,1950169.09173152,5.73920769684755,548539.235421984,0.281277781371741,-1.82993249876088
"EHC-2-2",12.0119800749364,179.042741187452,"EHC-2-2",6.4101319865617,2571177.07120998,5.8515567132497,710487.944493671,0.276327893729746,-1.85554689352451
"EHC-2-3",12.4710681358138,179.042741187456,"EHC-2-3",6.30353865798703,2011586.24817144,5.75180922204201,564688.862395469,0.280718195856021,-1.83280551404211
"KS8-10-1-1",12.719704103543,179.042741187447,"KS8-10-1-1",6.24580913360561,1761201.8525414,5.69778731182813,498640.227271856,0.283124973183694,-1.82048908637398
"KS8-10-1-2",11.74914024531,179.042741187454,"KS8-10-1-2",6.47115943360167,2959098.58018453,5.90866474072614,810335.267492225,0.27384530982462,-1.86856692348825
"KS8-10-1-3",12.914328679725,179.042741187453,"KS8-10-1-3",6.20062024030696,1587158.28438524,5.6555006246849,452377.113026813,0.285023313350272,-1.81084816620912
"KS8-10-2-1",10.661948223264,179.042741187453,"KS8-10-2-1",6.72358903546983,5291624.70611833,6.14488233360548,1395990.08460737,0.263811241752139,-1.92242205162277
"KS8-10-2-2",12.1609795569626,179.042741187452,"KS8-10-2-2",6.37553655248589,2374305.24822342,5.81918313225316,659451.912720686,0.277745211241951,-1.84816605735778
"KS8-10-2-3",13.9613473215415,179.04274118745,"KS8-10-2-3",5.95751829185365,906814.157476598,5.42801162710723,267924.005355537,0.295456354696857,-1.75898306605125
"KS8-100-1-1",17.0377567298277,179.042741187454,"KS8-100-1-1",5.24322239345688,175074.297933615,4.75959058427328,57489.7717355543,0.328373567188905,-1.60659009450819
"KS8-100-1-2",16.027986366231,179.042741187451,"KS8-100-1-2",5.47767585309623,300383.347703665,4.97898653256292,95276.6618349072,0.317183567475584,-1.65661006449988
"KS8-100-1-3",15.7079440198716,179.042741187454,"KS8-100-1-3",5.55198486239195,356438.709313726,5.0485231288067,111820.937440787,0.313717153942352,-1.67246367749754
"KS8-100-2-1",12.6573418083534,179.042741187451,"KS8-100-2-1",6.26028871865322,1820910.99661176,5.71133696171279,514442.644087312,0.282519379060566,-1.82357826411819
"KS8-100-2-2",12.4090285222304,179.042741187449,"KS8-100-2-2",6.31794332122899,2079425.28839665,5.76528876189023,582490.3862154,0.280120853326994,-1.835878707435
"KS8-100-2-3",13.5706452995393,179.042741187454,"KS8-100-2-3",6.04823341288397,1117463.67064907,5.51290067089985,325762.186204398,0.291519263454159,-1.77833687571014
"KS3-10-1-1",11.0177927950566,179.04274118745,"KS3-10-1-1",6.64096728902295,4374891.52318254,6.06756687646127,1168333.62623622,0.267054307528593,-1.90479494010865
"KS3-10-1-2",10.8598897016035,179.042741187454,"KS3-10-1-2",6.67763000748101,4760252.69391505,6.10187497281163,1264372.30031615,0.265610332395247,-1.91261682544106
"KS3-10-1-3",10.4998140386133,179.042741187452,"KS3-10-1-3",6.76123414953493,5770775.1042896,6.18010973230325,1513943.72519555,0.262346686161827,-1.93045352822699
"KS3-10-2-1",9.48736003107129,179.042741187452,"KS3-10-2-1",6.99631071085175,9915410.77531658,6.40008876426169,2512399.88157873,0.253383338170225,-1.98060643516597
"KS3-10-2-2",10.1331957488229,179.042741187452,"KS3-10-2-2",6.84635739092445,7020327.79707771,6.25976602867383,1818720.77902044,0.259064937078508,-1.94861432647858
"KS3-10-2-3",13.0507440455516,179.042741187453,"KS3-10-2-3",6.16894664835077,1475525.25871484,5.62586123376418,422533.584313008,0.286361471494584,-1.80409069663877
"KS3-100-1-1",17.4796715513124,179.042741187456,"KS3-100-1-1",5.14061643224214,138234.495619933,4.66357437621432,46086.5688666672,0.333394126118703,-1.58469940836168
"KS3-100-1-2",16.7415419366536,179.042741187455,"KS3-100-1-2",5.31199900402074,205115.747484538,4.82395009390909,66673.0148835783,0.325050688214976,-1.62126338617907
"KS3-100-1-3",16.6229360233427,179.042741187453,"KS3-100-1-3",5.33953750951855,218543.30648609,4.8497199696766,70748.9452574801,0.323729636908295,-1.62713864696957
"KS3-100-2-1",13.4554910546743,179.042741187454,"KS3-100-2-1",6.07497049299057,1188421.48048632,5.537920591926,345080.637695676,0.290368899722735,-1.78404115470289
"KS3-100-2-2",13.4612668945578,179.042741187447,"KS3-100-2-2",6.07362943002038,1184757.40009604,5.5366656572259,344084.934060964,0.290426490717064,-1.78375504278272
"KS3-100-2-3",13.4006538994706,179.042741187457,"KS3-100-2-3",6.08770285394885,1223778.59845761,5.54983523123524,354678.800659229,0.289822686151114,-1.78675756722261
"KS3-KS8-1-1",16.223921963463,179.042741187446,"KS3-KS8-1-1",5.43218256046886,270509.524172185,4.93641499579758,86380.357237415,0.319324643011209,-1.64690420161543
"KS3-KS8-1-2",16.6527821271749,179.042741187455,"KS3-KS8-1-2",5.33260769403526,215083.796657358,4.84323521384589,69700.3909147139,0.324061561112161,-1.62566019080579
"KS3-KS8-1-3",16.604054113524,179.042741187448,"KS3-KS8-1-3",5.34392160439911,220760.619644339,4.85382250096445,71420.4366354587,0.323519823193656,-1.62807398097873
"KS3-KS8-2-1",13.6933416401841,179.042741187452,"KS3-KS8-2-1",6.01974517180825,1046514.31136247,5.4862420552602,306367.050336333,0.292749986321228,-1.77225899157094
"KS3-KS8-2-2",15.0104154757338,179.042741187456,"KS3-KS8-2-2",5.71394047751597,517535.895904912,5.20007732559963,158517.540587254,0.30629284237393,-1.70701644127824
"KS3-KS8-2-3",15.4096076122759,179.042741187452,"KS3-KS8-2-3",5.62125407984853,418074.885841236,5.11334360820822,129820.598864829,0.310519964870908,-1.68724206542943
"NC-samp-1-1",27.9690521262521,179.042741187456,"NC-samp1-1",2.7051403537913,507.15458226015,2.38451402628217,242.389624716039,0.477940322723344,-1.06509760531312
"NC-samp-1-2",26.7311875781537,179.042741187454,"NC-samp1-2",2.99255384534281,983.000741301413,2.65346870763846,450.265536990077,0.458052082843765,-1.12641644549883
"NC-samp-1-3",27.0161143681111,179.042741187457,"NC-samp1-3",2.92639813899834,844.108238484423,2.59156177757847,390.446718873718,0.462555275582614,-1.11230231619052
"NC-samp-2-1",32.7598312798374,179.042741187453,"NC-samp2-1",1.59279363871703,39.1555779525309,1.34360653549066,22.0600521861863,0.563394881131116,-0.82778163909128
"NC-samp-2-2",32.5636661046201,179.042741187456,"NC-samp2-2",1.63834023589249,43.4850762456512,1.38622795337909,24.3348096440254,0.559612900447865,-0.837498874347456
"NC-samp-2-3",32.0764345792782,179.042741187452,"NC-samp2-3",1.75146805275065,56.4245433213343,1.49209026266517,31.052048989877,0.550328760536659,-0.861634368074758
"NC-1-1",35.2540850292822,179.042741187444,"NC-1-1",1.01366551032475,10.3196628851887,0.801672263736781,6.3339154785953,0.61377154942591,-0.704226321766967
"NC-1-2",35.6857100774978,179.042741187454,"NC-1-2",0.91344867938044,8.19310799425729,0.707891746727426,5.10377766146311,0.62293548004499,-0.682845349678915
"NC-1-3",33.830639245146,179.042741187453,"NC-1-3",1.34416816789044,22.0885988410494,1.11094875758938,12.9106693162505,0.584494716444275,-0.774738111352149
"NC-2-1",35.0834353772053,179.042741187447,"NC-2-1",1.05328778758507,11.305448281487,0.838749844533817,6.89842337263737,0.610185744154327,-0.712679620441306
"NC-2-2",36.8358722243552,179.04274118745,"NC-2-2",0.646398363587415,4.42994529903034,0.457992438930541,2.87073060215312,0.648028453710587,-0.625870934360902
"NC-2-3",35.7914689777882,179.042741187456,"NC-2-3",0.888893056681812,7.74271113091404,0.684913181445877,4.8407558775988,0.625201663312905,-0.677606478337874
